"id";"name";"category_id";"brand_id";"supplier_id";"unit_id";"cost";"markup";"price";"quantity";"date_added"
1;"lcurry";1;1;1;1;0.0;0.0;1000.0;1;"2025-11-30"
2;"brownies";1;1;1;1;500.0;5.0;560.0;123;"2025-11-30"
3;"lcurry";1;1;1;1;100.0;141.0;1000.0;1;"2025-11-30"
4;"brownies";1;1;1;1;500.0;5.0;560.0;123;"2025-11-30"
5;"lcurry";1;1;1;1;100.0;141.0;1000.0;1;"2025-11-30"
6;"brownies";1;1;1;1;1200.0;244.0;720.0;10;"2025-11-30"
7;"leche flan";1;1;1;1;60.0;90.0;114.0;100;"2025-12-08"
8;"ube";1;1;1;1;60.0;84.5;110.7;14;"2025-12-12"
9;"banana cake";1;1;1;1;340.0;100.0;680.0;5;"2025-12-13"
10;"banana cake";1;1;1;1;340.0;100.0;680.0;10;"2025-12-13"
11;"banana cake";1;1;1;1;340.0;100.0;680.0;10;"2025-12-13"
12;"banana cake";1;1;1;1;340.0;100.0;680.0;3;"2025-12-13"
13;"brownies";1;1;1;1;320.0;100.0;640.0;2;"2025-12-13"
14;"leche flan";1;1;1;1;60.0;90.0;114.0;10;"2025-12-13"
15;"leche flan";1;1;1;1;60.0;84.0;110.4;5;"2025-12-13"
16;"ube";1;1;1;1;60.0;84.5;110.7;4;"2025-12-13"
17;"leche flan";1;1;1;1;60.0;90.0;114.0;10;"2025-12-13"
18;"ube";1;1;1;1;60.0;85.0;111.0;15;"2025-12-13"
19;"banana cake";1;1;1;1;340.0;100.0;680.0;3;"2025-12-14"
20;"ube";1;1;1;1;60.0;84.5;110.7;4;"2025-12-14"
21;"brownies";1;1;1;1;320.0;100.0;640.0;9;"2025-12-14"
22;"ube";1;1;1;1;60.0;85.0;111.0;130;"2025-12-15"
23;"loq";1;1;1;1;10000.0;50.0;15000.0;10;"2025-12-18"
24;"loq";1;1;1;1;10000.0;50.0;15000.0;2;"2025-12-18"
